MUNICIP_ID,GDP_PER_CAP,POP_2024,POP_DENSITY,FIBER_PER_100,LTE_ACCESS_PER_100,NR_ACCESS_PER_100,AVG_DL_SPEED,NR_STATION_CNT,NR_PER_100K_POP,SLP_PER_100K_POP,HIGH_NR_P70,HIGH_NR_P75,HIGH_NR_P80,HIGH_SLP,REGION_North,REGION_Northeast,REGION_South,REGION_Southeast
2303808,10905.94408678014,22678.0,30.61,116.78278507804922,67.5765058647147,0.8334068259987654,20.01681596091205,21.0,92.60075844430726,370.40303377722904,1,1,1,0,False,True,False,False
2303907,8615.22842639594,12805.0,52.53,41.952362358453726,63.74853572823116,0.47637641546270987,22.1821186440678,9.0,70.28504490433424,249.90238188207732,1,0,0,0,False,True,False,False
2303931,14457.915993537965,12380.0,14.86,27.738287560581583,70.87237479806139,0.12116316639741519,31.40147272727273,12.0,96.93053311793214,872.3747980613894,1,1,0,0,False,True,False,False
2303956,12535.423590039974,20763.0,68.02,61.83595819486587,80.73014496941676,1.5123055435149064,34.56496389891697,9.0,43.346337234503686,558.6861243558253,1,0,0,0,False,True,False,False
2304004,10499.580184718723,21438.0,27.92,60.70995428678048,58.74148707901856,0.20057841216531394,22.738482549317148,6.0,27.987685418415897,65.3045993096371,0,0,0,0,False,True,False,False
2304103,11936.611159142452,79809.0,25.62,115.52707088173013,78.52497838589633,5.980528511821975,38.94420836751436,51.0,63.90256737961884,907.165858487138,1,1,1,0,False,True,False,False
2304202,13539.462642514034,138232.0,115.14,153.2336940795185,77.3127785172753,22.713264656519474,67.15734664966709,183.0,132.38613345679727,416.69078071647664,1,1,1,0,False,True,False,False
2304236,12463.875159660132,18007.0,25.1,43.93846837341034,64.59154773143777,1.1328927639251403,57.4570227920228,9.0,49.98056311434442,133.2815016382518,1,0,0,0,False,True,False,False
2304251,11702.232549376708,31847.0,88.6,172.107262850504,79.77517505573523,0.2166609099758219,61.709963002114165,3.0,9.420039564166169,458.4419254560869,0,0,0,0,False,True,False,False
2304269,10999.018752725688,9172.0,18.96,54.339293501962494,60.20497165285652,0.7413868294810292,51.11525,6.0,65.41648495420846,87.22197993894461,0,0,0,0,False,True,False,False
