model,metric,repeat,fold,score
percap,f1,3,3,0.599250936329588
percap,f1,3,4,0.594392523364486
percap,f1,3,5,0.6225402504472272
percap,f1,4,1,0.6445672191528545
percap,f1,4,2,0.58195211786372
percap,f1,4,3,0.5471349353049908
percap,f1,4,4,0.5944954128440367
percap,f1,4,5,0.6419294990723562
percap,f1,5,1,0.6058252427184466
percap,f1,5,2,0.5822784810126582
percap,f1,5,3,0.5921787709497207
percap,f1,5,4,0.6205673758865248
percap,f1,5,5,0.6025878003696857
presence,roc_auc,1,1,0.8214882462371047
presence,roc_auc,1,2,0.8408760358532048
presence,roc_auc,1,3,0.8444096712923221
presence,roc_auc,1,4,0.8783855944519173
presence,roc_auc,1,5,0.8611167567714049
presence,roc_auc,2,1,0.8608219178082192
presence,roc_auc,2,2,0.8404058853373921
presence,roc_auc,2,3,0.8435951684094549
presence,roc_auc,2,4,0.8520342293991605
presence,roc_auc,2,5,0.8529226454209178
presence,roc_auc,3,1,0.8547606967698294
presence,roc_auc,3,2,0.8479688821241332
presence,roc_auc,3,3,0.8416417133625789
presence,roc_auc,3,4,0.875817037642876
presence,roc_auc,3,5,0.8253424657534247
presence,roc_auc,4,1,0.8469203450025369
presence,roc_auc,4,2,0.8443125317097919
presence,roc_auc,4,3,0.8683682228966562
presence,roc_auc,4,4,0.8377145251887551
presence,roc_auc,4,5,0.84668306166416
presence,roc_auc,5,1,0.8715778792491122
presence,roc_auc,5,2,0.8543006933874513
presence,roc_auc,5,3,0.8337839573349195
presence,roc_auc,5,4,0.8431558100079085
presence,roc_auc,5,5,0.8459818706556644
presence,f1,1,1,0.6875753920386007
presence,f1,1,2,0.7195121951219512
presence,f1,1,3,0.709838107098381
presence,f1,1,4,0.7493857493857494
presence,f1,1,5,0.738498789346247
presence,f1,2,1,0.7344497607655502
presence,f1,2,2,0.6896551724137931
presence,f1,2,3,0.718192627824019
presence,f1,2,4,0.7236679058240396
presence,f1,2,5,0.7406483790523691
presence,f1,3,1,0.7373493975903614
presence,f1,3,2,0.7048567870485679
presence,f1,3,3,0.7142857142857143
presence,f1,3,4,0.7485101311084624
presence,f1,3,5,0.6970443349753694
presence,f1,4,1,0.7252475247524752
presence,f1,4,2,0.7228327228327228
presence,f1,4,3,0.7274909963985594
presence,f1,4,4,0.7156862745098039
presence,f1,4,5,0.7035670356703567
presence,f1,5,1,0.7234567901234568
presence,f1,5,2,0.7358262967430639
presence,f1,5,3,0.7215496368038741
presence,f1,5,4,0.7132530120481928
presence,f1,5,5,0.7042606516290727
slp,roc_auc,1,1,0.803519579545944
slp,roc_auc,1,2,0.8292896221944601
slp,roc_auc,1,3,0.7847012712410717
slp,roc_auc,1,4,0.785629560867435
slp,roc_auc,1,5,0.791190069527112
slp,roc_auc,2,1,0.8018825658036445
slp,roc_auc,2,2,0.801404385473657
slp,roc_auc,2,3,0.8071607230344756
slp,roc_auc,2,4,0.7929054605777743
slp,roc_auc,2,5,0.7925141900867796
slp,roc_auc,3,1,0.7897040451471159
slp,roc_auc,3,2,0.798044199371042
slp,roc_auc,3,3,0.7994550596082273
slp,roc_auc,3,4,0.8105042847442476
slp,roc_auc,3,5,0.788701412970343
slp,roc_auc,4,1,0.8005988023952096
slp,roc_auc,4,2,0.7957308404773188
slp,roc_auc,4,3,0.7902237349905022
slp,roc_auc,4,4,0.7927335550914107
slp,roc_auc,4,5,0.8141141762848714
slp,roc_auc,5,1,0.8159393443329169
slp,roc_auc,5,2,0.7931762374531514
slp,roc_auc,5,3,0.7897595901773206
slp,roc_auc,5,4,0.7982818046637958
slp,roc_auc,5,5,0.7943213774304296
slp,f1,1,1,0.5638148667601683
slp,f1,1,2,0.5844504021447721
slp,f1,1,3,0.5399449035812672
slp,f1,1,4,0.5527065527065527
slp,f1,1,5,0.5397260273972603
slp,f1,2,1,0.5512649800266312
slp,f1,2,2,0.564673157162726
slp,f1,2,3,0.5613540197461213
slp,f1,2,4,0.5449515905947441
slp,f1,2,5,0.5638888888888889
slp,f1,3,1,0.5388888888888889
slp,f1,3,2,0.5547850208044383
slp,f1,3,3,0.5594594594594594
slp,f1,3,4,0.5694249649368864
slp,f1,3,5,0.5553997194950911
slp,f1,4,1,0.5633423180592992
slp,f1,4,2,0.5523809523809524
slp,f1,4,3,0.5414965986394558
slp,f1,4,4,0.5541490857946554
slp,f1,4,5,0.5780346820809249
slp,f1,5,1,0.5872576177285319
slp,f1,5,2,0.5508021390374331
slp,f1,5,3,0.5398601398601398
slp,f1,5,4,0.5418994413407822
slp,f1,5,5,0.5594405594405595
