replication,status,const,GDP_PER_CAP,POP_DENSITY,FIBER_PER_100,LTE_ACCESS_PER_100,REGION_North,REGION_Northeast,REGION_South,REGION_Southeast,clogpop,alpha
119,valid,-7.121466928562591,0.07979639552430269,0.14933829343980184,0.13547980411718513,0.033952095499418584,-0.052517157900251125,0.05264292640423845,0.20180007962460003,0.04054079528233896,-0.06519115342402723,0.6396262953520682
120,valid,-7.1452398487687585,0.10527657020820975,0.1909503898249685,0.10293070949593099,0.040258017509516436,-0.0012195546159749363,0.020493633434020577,0.18473903270185701,0.03084780571587945,-0.14441398573763384,0.7020541527144556
121,valid,-7.037307459612491,0.10501950271923383,0.20331667435579207,0.09504426228029818,0.02060903252745805,0.058040510189840244,0.06695112102106425,0.20767467572245388,0.07798632816002474,-0.13024993691696146,0.7103067535560041
122,valid,-7.117648749876583,0.08705842499327464,0.1463519648438593,0.1887388968332854,0.04789399069423203,-0.02341761634016278,0.06416585488199977,0.12789581362582328,-0.04453045761840708,-0.07164726498762411,0.565638961784154
123,valid,-7.146440896567934,0.09817784061405434,0.15618290513048752,0.11785649065971364,0.1748525292691457,-0.09825961712079698,0.0055144721534580885,0.04397775718417422,-0.035237863248541744,-0.03264139563194733,0.6011374986853755
124,valid,-7.0767666059272925,0.05037406264944764,0.15613512258197154,0.14508702454232555,0.04289789564886374,0.060294769586143354,0.18433707902975977,0.1777441364690876,0.04875100933029232,-0.06572062211730842,0.5203237293706555
125,valid,-7.07718387792092,0.11695110081651199,0.233520113832724,0.1311872001776287,0.026354437949713313,0.04278362576303624,0.09791331701137433,0.17532321651204105,0.04265596376546933,-0.15039865829638624,0.6228787230236152
126,valid,-7.123426042619325,0.0846524540936852,0.25987631695562324,0.13919837367358814,0.026647108578402974,-0.02696879392986572,0.04601692031951019,0.1241764853627744,0.008637625026616113,-0.14245828906280106,0.7221497095033332
127,valid,-7.01595539508585,0.0699430494345561,0.31752439456606407,0.12418644064833889,0.007591250918547599,0.00018295978834769358,0.13558197308358114,0.12704253702991603,0.06762559621410345,-0.1720851753312617,0.6973103455296308
128,valid,-7.16088949695994,0.08225928730618562,0.2821601265850603,0.14183942879207773,0.12477847687104325,0.0301493687853444,0.07283570703105505,0.20101280511281716,0.09516934500915579,-0.10270685784694074,0.5544170090596593
129,valid,-7.1678012308087675,0.08412016981119126,0.1264993017960173,0.13015985850437423,0.05773829893327527,-0.018931666097294346,-0.017089175810574394,0.08594867081107196,-0.027398269907359416,-0.05333010702635183,0.5627140227435906
130,valid,-6.983636864441583,0.08544629126916939,0.1356697795463624,0.14697237574299754,0.021306109122969163,-0.029005852474425595,0.15060686976342602,0.29970875363971194,0.03525148524491905,-0.054700012162704356,0.5757373884285613
131,valid,-7.127057589183602,0.1356121674289337,0.23125646775624328,0.14503977373390367,0.03850559950988661,-0.012668677910282405,0.058325264267169524,0.1775830713343347,0.014352589704392545,-0.13727123636224567,0.6513317926861018
133,valid,-7.007699263418375,0.0946855688812607,0.1269530712257269,0.12729820303825073,0.02816523304922077,-0.06222453610265634,0.17241430868092847,0.1812104351383074,-0.0028040030019126053,-0.054959496415960644,0.7012119653305172
134,valid,-7.071783871025614,0.026213113826360455,0.21813091561064743,0.11046390389069255,0.04539657667464014,-0.016751591149676906,0.1280968992800669,0.07066453300712378,0.05779542746813486,-0.12819947217853347,0.7025655520790368
135,valid,-7.070191661467952,0.089447256648936,0.1759442516733864,0.15924276038270757,0.02912221214836189,-0.015870319181177244,0.06853392466934645,0.19132715131657682,-0.015101304264938808,-0.12678109137443042,0.6093967610400229
136,valid,-7.08438618294973,0.09114048950933884,0.2909957330977762,0.08799355690388307,0.032677946313019124,0.016180608816712523,0.0494016499787662,0.11507708066379374,0.01582859531335289,-0.21717329272974237,0.822454539555157
137,valid,-7.119003192026629,0.10166303317103721,0.1552113309304057,0.12387974566576135,0.023984490004111368,0.0003681482671873312,-0.019279566696900802,0.18956254327780134,0.031210494685274048,-0.06504663957533448,0.746487123127664
