replication,status,const,GDP_PER_CAP,POP_2024,POP_DENSITY,FIBER_PER_100,LTE_ACCESS_PER_100,REGION_North,REGION_Northeast,REGION_South,REGION_Southeast
76,valid,-1.1999548895790269,0.9176737053408026,0.4769194640359657,-0.06283128418385728,0.20237899699469666,0.24085302029717112,-0.3060537729775006,-0.7089090205990966,-0.506834836283185,0.04264110662759982
77,valid,-1.2625289790633252,1.6556461482193938,0.640389504264231,-0.012821616370032523,0.15089519967118456,0.27345961953216785,-0.12787589020554058,-0.40967728292037897,-0.31996882797352366,0.11813205495386149
78,valid,-1.0681258666138835,1.3557210823306824,0.7064360620755559,-0.08599796611843087,0.20053189583732905,0.17951120808936702,-0.16336160345319065,-0.46660213165777453,-0.21314569607561687,0.19639130036792637
79,valid,-1.2439466509002346,1.614566153842145,0.6440188213895591,-0.07067094587776503,0.16403840961978386,0.33241073193644904,-0.10128330471899749,-0.4699023837885346,-0.20674857560777926,-0.10035432487898593
80,valid,-1.0311687288535416,1.0650281637872907,0.7316561408618407,-0.11795588412125385,0.12023863057050804,0.19662931887290852,-0.11354607071473088,-0.579826921040585,0.16596730888068364,0.39202874643437796
82,valid,-1.8959600338847997,0.5036761442958813,0.5571999326575451,-0.08898648162054873,0.37885871389632403,0.4458673677968715,-0.28480684436383596,-0.6806997032960713,-0.4547247609838267,-0.5886401482110453
83,valid,-1.3591255175246728,0.6984326207048334,0.3993532133036995,-0.0479105822944189,0.2704210723328119,0.33423747410802496,-0.1823186093565323,-0.6775107174021003,-0.30919903936902515,-0.07839834467437737
84,valid,-1.2904115720219853,0.9621495301618714,0.3285185779598566,-0.05191576486964235,0.22972935017986987,0.2999428754543642,-0.17956776874790129,-0.5327106027713909,-0.10170478794040122,0.05313369378424263
85,valid,-1.7712365669909564,0.6719910112796268,0.5596873058604735,-0.010715043382703912,0.28459648547620364,0.45999341318720066,-0.1938371690067661,-0.6020279074631681,-0.4579075159387896,-0.5160996865780347
86,valid,-1.3849162306009877,1.076713137659694,0.41667723410910207,-0.012547768505638785,0.2757211856065255,0.38410471135922725,-0.21835653942589975,-0.7730854233037628,-0.5860330913294757,-0.032968495597801906
87,valid,-0.9537121357549198,1.8213149271331381,0.5378247710439497,-0.060614595802019035,0.10699931621894557,0.19826200613706638,-0.1274759501504352,-0.3901930356140339,0.027546785175353788,0.19533214288801581
88,valid,-1.4399937632571242,0.9328510630711789,0.5207692547415204,-0.05654433988755045,0.1710370451130994,0.32697477336308806,-0.12448570072278335,-0.5438180588620365,-0.466499401350665,0.23587237413940476
89,valid,-1.2935044537750628,0.7307222062577345,0.8757536417820218,-0.09993431844133441,0.12578312891045523,0.407995945296032,-0.23975251963892674,-0.7986256364350898,-0.7738396105958731,0.060547558591968406
90,valid,-1.6264439125704724,0.7371482127565758,0.9019365085786427,-0.08579818206853933,0.28761597878937445,0.448096533427571,-0.1526698383440167,-0.5825264795660414,-0.46071282434821387,-0.07893337512887612
91,valid,-1.63363886812103,1.5166054487566385,0.5587853611896738,-0.08710424641454881,0.012987984848852913,0.46173844917356854,-0.13256321227618859,-0.2869844899016776,-0.26944397958050764,-0.5130972766973797
92,valid,-1.7996918284318966,0.7222479100429847,0.757070306266115,-0.17683476433985976,0.24268734075872053,0.46914003624065165,-0.19517955687989183,-0.7046498062696605,-0.3924293629241391,-0.652675347943773
93,valid,-1.3547195707760422,1.492556340057682,0.36513648258484993,0.010246180192863457,0.15954786010687316,0.3286603517592287,-0.13400033043185855,-0.3442652921461825,-0.2646132091663676,0.030366010439562826
94,valid,-1.7915139199644743,0.7083545105281049,0.7230772676958296,-0.07561930678709713,0.1807802643176887,0.5178284042190132,-0.18032888912314418,-0.5803407708340252,-0.5650807824024676,-0.5199508133684959
95,valid,-1.2473103227133473,1.0390453587706505,0.5250170415160975,-0.09095893474528635,0.20663464340187174,0.21232554325707576,-0.6959894783256746,-0.6345674969840421,-0.3399641121179466,0.041608423872137486
96,valid,-1.191282396192315,1.5416066775214323,0.7407532641132488,-0.0731937258769084,0.17278417268111326,0.3174934869382064,-0.12233363645366759,-0.6091656512150065,0.04142283167571688,0.11069107327916168
98,valid,-1.6463399113621888,0.6839944808942147,0.5077994665701495,-0.038927948773626646,0.28251347756685957,0.5037559959644827,-0.30537839602053535,-0.9862938183192115,-0.6526317119356556,-0.41527136881962917
